Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.1506,180,0.015451558,66,38,17
6,12,0.1506,180,0.016351558,104.5,50.5,17
6,12,0.1506,180,0.017051558,104.5,50.5,17
6,12,0.1506,180,0.017751558,155.5,50.5,17
6,12,0.1506,180,0.018451558,534,76,17
6,12,0.1506,180,0.018851558,799,63,17
6,12,0.1506,180,0.019451558,1772,75.5,17
6,12,0.1506,180,0.019951558,2226,75.5,17
6,12,0.1506,180,0.020951558,2150,50.5,17
6,12,0.1506,180,0.021251558,1760,113.5,17
6,12,0.1506,180,0.021851558,1406,88,17
6,12,0.1506,180,0.022251558,2505,101,17
6,12,0.1506,180,0.022951558,3818,101,17
6,12,0.1506,180,0.023351558,4272,75.5,17
6,12,0.1506,180,0.024051558,4538,38,17
6,12,0.1506,180,0.024651558,3541,101,17
6,12,0.1506,180,0.024851558,2632,126.5,17
6,12,0.1506,180,0.025351558,2190,63,17
6,12,0.1506,180,0.025551558,1774,50.5,17
6,12,0.1506,180,0.026251558,1748,101,17
6,12,0.1506,180,0.026751558,1634,88.5,17
6,12,0.1506,180,0.027151558,1723,76,17
6,12,0.1506,180,0.027751558,1748,75.5,17
6,12,0.1506,180,0.028351558,1888,88.5,17
6,12,0.1506,180,0.028651558,2052,101,17
6,12,0.1506,180,0.029251558,2052,101,17
6,12,0.1506,180,0.029951558,2103,101,17
6,12,0.1506,180,0.030551558,2064,88.5,17
6,12,0.1506,180,0.031251558,2002,101,17
6,12,0.1506,180,0.031651558,2192,88.5,17
6,12,0.1506,180,0.033851558,2368,113.5,17
6,12,0.1506,180,0.035651558,2572,113.5,17
6,12,0.1506,180,0.037751558,2812,126.5,17
6,12,0.1506,180,0.039751558,3078,113.5,17
6,12,0.1506,180,0.041851558,3469,101,17
6,12,0.1506,180,0.043851558,3735,164,17
6,12,0.1506,180,0.045751558,3862,164.5,17
6,12,0.1506,180,0.047651558,4039,164,17
6,12,0.1506,180,0.049951558,4191,164,17
6,12,0.1506,180,0.051951558,4154,151.5,17
6,12,0.1506,180,0.053551558,4166,164.5,17
6,12,0.1506,180,0.055651558,4066,189,17
6,12,0.1506,180,0.057951558,3826,151.5,17
6,12,0.1506,180,0.059751558,3776,151.5,17
6,12,0.1506,180,0.061851558,3726,151.5,17
6,12,0.1506,180,0.064051558,3576,126,17
6,12,0.1506,180,0.065751558,3236,113.5,17
6,12,0.1506,180,0.067751558,3185,139,17
6,12,0.1506,180,0.069951558,2946,126,17
6,12,0.1506,180,0.071551558,2795,126,17
6,12,0.1506,180,0.073851558,2492,176.5,17
6,12,0.1506,180,0.075751558,2392,151.5,17
6,12,0.1506,180,0.077951558,2190,126.5,17
6,12,0.1506,180,0.079851558,2128,113.5,17
6,12,0.1506,180,0.081851558,1990,126.5,17
6,12,0.1506,180,0.083851558,1864,126.5,17
6,12,0.1506,180,0.085951558,1725,139,17
6,12,0.1506,180,0.087951558,1726,113.5,17
6,12,0.1506,180,0.089651558,1752,113.5,17
6,12,0.1506,180,0.091951558,1651,139,17
6,12,0.1506,180,0.093751558,1436,151.5,17
6,12,0.1506,180,0.095551558,1236,126.5,17
6,12,0.1506,180,0.097851558,1135,126,17
6,12,0.1506,180,0.099651558,946,114,17